group,litter_number,gd0_weight,gd18_weight,gd_of_birth,pups_dead_birth,pups_survive,wt_gain
con7,#85,19.7,34.7,20,4,3,15.000000000000004
con7,#1/2/95/2,27,42,19,0,7,15
con7,#5/5/3/83/3-3,26,41.4,19,0,5,15.399999999999999
con7,#5/4/2/95/2,28.5,44.1,19,1,4,15.600000000000001
con7,#4/2/95/3-3,NA,NA,20,0,6,NA
con7,#2/2/95/3-2,NA,NA,20,0,4,NA
con7,#1/5/3/83/3-3/2,NA,NA,20,0,9,NA
